,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
373,5,3.2500532,3.0780306,"(221, 15)",0,0,True,0.48640797,0.4571001
374,5,3.2603574,2.1925476,"(46, 77)",0,0,True,0.402088,0.25581983
375,5,3.219328,2.5855856,"(77, 78)",0,0,True,0.44541326,0.34666243
376,5,3.641669,4.4119024,"(62, 114)",0,1,False,0.5478194,0.6835714
377,5,3.1552076,3.1607637,"(146, 114)",0,1,False,0.5004398,0.501389
378,5,3.495203,4.3311434,"(114, 266)",0,1,False,0.5534055,0.69760954
379,5,3.7704165,4.002568,"(160, 65)",0,1,False,0.5149332,0.55777854
380,5,4.010085,3.9624147,"(70, 160)",0,0,True,0.49701035,0.48808467
381,5,4.2400846,4.327831,"(14, 203)",0,1,False,0.50512064,0.52192247
382,5,3.6622794,3.6954868,"(223, 14)",0,1,False,0.50225663,0.5083011
383,5,2.377937,2.3391852,"(78, 46)",0,0,True,0.49589244,0.49031323
384,5,2.5465865,3.3898299,"(49, 161)",0,1,False,0.5710229,0.6991479
385,5,4.8448086,4.1760473,"(55, 169)",0,0,True,0.4629325,0.33877426
386,5,4.4007826,3.5519605,"(169, 60)",0,0,True,0.44663334,0.29968
387,5,3.883218,3.2352622,"(79, 169)",0,0,True,0.45448774,0.34345034
388,5,4.3765945,3.9969902,"(131, 169)",0,0,True,0.47733322,0.40622234
389,5,3.429611,4.268932,"(189, 179)",0,1,False,0.55451167,0.6983221
390,5,3.9748867,4.015465,"(179, 202)",0,1,False,0.50253916,0.5101431
391,5,4.434161,4.338787,"(203, 179)",0,0,True,0.4945643,0.4761745
392,5,4.391926,4.0215874,"(178, 168)",0,0,True,0.47799146,0.40845925
393,5,3.6546454,3.467428,"(178, 202)",0,0,True,0.48685655,0.45333186
394,5,4.267219,3.9444985,"(178, 203)",0,0,True,0.48035,0.4200129
395,5,3.8940208,3.6687412,"(184, 203)",0,0,True,0.48510602,0.44391713
396,5,3.6991103,2.2820234,"(203, 222)",0,0,True,0.38153693,0.19511868
397,5,4.2925735,4.5264597,"(251, 203)",0,1,False,0.5132603,0.55820644
398,5,3.4504466,2.8980632,"(62, 16)",0,0,True,0.45649502,0.3653116
399,5,4.2240424,4.209573,"(62, 64)",0,0,True,0.49914217,0.49638265
400,5,3.8666043,4.2723513,"(62, 251)",0,1,False,0.52492625,0.6000676
401,5,3.4993956,3.9890902,"(202, 221)",0,1,False,0.5326965,0.6200345
402,5,3.4160411,2.7039416,"(16, 63)",0,0,True,0.44182175,0.32913506
403,5,2.6334407,3.27232,"(199, 16)",0,1,False,0.55408955,0.6545001
404,5,3.3501072,3.5234237,"(115, 63)",0,1,False,0.5126075,0.543221
405,5,3.807443,3.6580887,"(277, 63)",0,0,True,0.48999706,0.4627307
406,5,4.307814,3.2409346,"(168, 60)",0,0,True,0.42933398,0.25599694
407,5,3.6805012,2.8599563,"(168, 79)",0,0,True,0.4372716,0.30564797
408,5,3.2678378,3.0039592,"(168, 80)",0,0,True,0.4789631,0.4344105
409,5,3.8437855,3.351017,"(109, 139)",0,0,True,0.46575525,0.37924165
410,5,3.0168154,3.0547867,"(141, 109)",0,1,False,0.503127,0.5094917
411,5,4.2483397,3.294813,"(109, 144)",0,0,True,0.4367952,0.2781761
412,5,3.501653,2.6187758,"(155, 109)",0,0,True,0.4278746,0.29258192
413,5,2.6068816,3.2412226,"(182, 66)",0,1,False,0.55423474,0.65347314
414,5,4.3699183,3.5735164,"(152, 24)",0,0,True,0.44987038,0.31079572
415,5,3.6421578,3.797892,"(25, 152)",0,1,False,0.5104659,0.5388551
416,5,3.2644362,3.577236,"(152, 101)",0,1,False,0.5228599,0.5775685
417,5,4.672615,4.375484,"(158, 152)",0,0,True,0.48358047,0.42625898
418,5,4.4184337,4.716431,"(152, 162)",0,1,False,0.516311,0.5739529
419,5,3.573124,3.7817109,"(258, 152)",0,1,False,0.5141803,0.55195844
420,5,3.7665217,4.122134,"(279, 152)",0,1,False,0.5225395,0.58797795
421,5,4.3261395,4.465374,"(250, 152)",0,1,False,0.50791866,0.5347525
422,5,3.7782614,3.604421,"(152, 261)",0,0,True,0.48822644,0.45664895
423,5,3.703436,3.3649964,"(187, 190)",0,0,True,0.4760598,0.41618857
424,5,3.1954072,2.5114357,"(187, 235)",0,0,True,0.44007444,0.33537552
